Symbol
GPC
URI
APTV
TROW
K
TSCO
HIG
CDW
FANG
CBRE
FE
ARE
EFX
ULTA
ACGL
VMC
ETR
AEE
SGEN
WY
DTE
RJF
AVB
FTV
MKC
FITB
SIRI
EQR
WBD
VEEV
TSN
CRWD
PPL
EBAY
VRSN
FRC
IR
DAL
LSXMA
FWONK
LSXMK
FWONA
MLM
PFG
CAH
LH
ANSS
DDOG
WAT
PWR
HPE
PODD
HBAN
CTRA
LUV
RF
CHD
XYL
EXR
WRB
MOH
TTD
CNP
CFG
AES
TPL
DOV
BMRN
CAG
CMS
HOLX
TDY
TEAM
JBHT
WAB
NTRS
VTR
EPAM
HEI.A
HEI
STE
ROL
INVH
BBY
MAA
PAYC
STLD
AMCR
DGX
CLX
SUI
INCY
MKL
PKI
GRMN
MRO
WST
IEX
RPRX
CPB
CF
SJM
LPLA
EXPD
DRI
AGR
TRGP
TTWO
OMC
WPC
COO
ZM
UI
CINF
HWM
ATO
BALL
BRO
RIVN
FOX
FOXA
KEY
MPWR
LYV
FSLR
ALGN
FMC
BR
ZS
DASH
FICO
J
APA
ETSY
MOS
FDS
BG
NVR
TXT
AVY
IRM
SYF
EVRG
LDOS
RBLX
LKQ
CPRT
PTC
SWKS
LNT
GEN
L
BAH
AVTR
PINS
SPOT
SPLK
ESS
PEAK
NDSN
RKT
WLK
BEN
BURL
CBOE
FLT
VTRS
TYL
GLPI
EQT
HUBS
CHK
TER
KIM
RE
FHN
AKAM
RS
MDB
IPG
JKHY
OVV
SSNC
EXPE
AZPN
MGM
ZBRA
LW
RPM
ERIE
SIVB
NTAP
HUBB
WTRG
DPZ
UDR
UAL
RCL
UTHR
IP
CSL
BIO
SNA
NET
ELS
TRMB
PKG
POOL
TTC
CPT
PLTR
ACM
AXON
AFG
GL
TFX
ARES
GDDY
HST
ZI
NBIX
CNA
GGG
ACI
NI
CE
QGEN
CRL
SRPT
SWK
CHRW
MTCH
HSIC
DOX
BILL
LBRDA
LBRDK
SCI
PARA
PARAA
BXP
ARMK
CG
REG
TRU
DT
AMH
U
MAS
NWSA
NWS
VFC
DOCU
MKTX
PCTY
NLY
EQH
DECK
PHM
LCID
JNPR
UHS
FNF
AR
DINO
FCNCA
DAR
BSY
AGCO
REXR
JAZZ
CCK
OKTA
EMN
WDC
BRKR
FIVE
WSO
MTN
ENTG
BLDR
BBWI
WYNN
DELL
KMX
RGA
WSC
VST
BWA
ALLE
BKI
JBL
HII
RGEN
PFGC
CUBE
CDAY
TPR
EWBC
SNX
QRVO
WRK
STOR
MORN
BJ
CZR
CLF
AOS
PNW
LSCC
EXAS
AAP
NFE
CMA
WOLF
LII
CASY
G
CCL
FFIV
LSI
CFR
LECO
KNX
PEN
IVZ
FRT
OC
NNN
LAMR
NOV
UNM
RNR
CGNX
AAL
WBS
HAS
OGE
PAG
PSTG
CBSH
RHI
AA
RRX
UGI
TTEK
JEF
CHDN
SEIC
ADT
CTLT
WSM
TWLO
USFD
WHR
COLD
MASI
CHE
BERY
DISH
IBKR
ACHC
RGLD
JLL
MANH
ZG
Z
NRG
FND
OLN
ORI
GMED
CIEN
PNR
HR
ZION
DCI
LEA
FBIN
CPRI
SEE
ATR
NVCR
KBR
VMI
COTY
MIDD
TW
CACI
OGN
WEX
ALLY
RL
BOKF
SBNY
XRAY
GPK
CNXC
SWN
PLUG
WMS
GLOB
MPW
BRX
ITT
NXST
DVA
AGL
MTZ
OHI
AIZ
DKS
PB
INGR
PATH
PCOR
CAR
EGP
PLNT
FR
RRC
REYN
ARW
NVT
CW
GNTX
WCC
WAL
MDU
MHK
DBX
CLH
WH
FLO
FYBR
RH
DXC
SF
AGNC
X
SAIC
ST
MAT
CACC
HOG
PDCE
COUP
LSTR
NFG
TPX
SON
CHH
STWD
VOYA
AMG
EHC
HRB
ASH
SLGN
HOOD
COIN
PII
NTNX
OSK
GNRC
BYD
ALGM
VVV
SKX
PPC
WWD
SRC
AXTA
CR
PNFP
TOL
GME
MSA
M
QDEL
MKSI
IDA
FCN
ELAN
LAD
LUMN
CLVT
FAF
LFUS
COLM
AYI
DTM
CCCS
NWL
POST
NVST
ALK
SNV
NYT
WU
HUN
BWXT
AN
NCLH
IONS
SITE
DNB
UNVR
IAA
PRI
TKR
BC
VAC
AIRC
THC
GXO
SGFY
WTFC
HTZ
RUN
LNC
EXEL
BLD
OLED
RYN
EXP
GWRE
HXL
SMAR
OSH
DKNG
THG
WEN
OZK
TOST
ROKU
NATI
BEPC
VRT
ESTC
OWL
IART
BPOP
CC
EEFT
SRCL
AXS
FIVN
HE
RYAN
KRC
PRGO
COHR
PENN
TREX
FNB
IPGP
PVH
DRVN
ESI
SEB
MP
H
LPX
LEG
EVR
R
MAN
AL
PYCR
WIX
GPS
DLB
SLM
VNO
PINC
CRUS
SOFI
RITM
OMF
THO
NYCB
TFSL
AZTA
XPO
CABO
LAZ
FLS
JHG
MSM
NTRA
ALSN
UAA
UA
CUZ
KEX
HHC
MTG
DOCS
UMPQ
AVT
NEWR
AGO
ICUI
INFA
TDOC
SYNH
MSGS
WTM
DV
BFAM
IAC
BHF
YETI
LYFT
LITE
SAM
TDC
SSRM
LOPE
CNM
NSA
FHB
CFLT
TECH
NCR
GTES
KMPR
AWI
OLPX
AZEK
TWKS
BOH
NEU
TXG
SPR
RARE
WWE
VNT
HIW
VSCO
ESAB
TNL
AYX
CRI
AMBP
ENOV
OLLI
EPR
PLTK
RNG
FOUR
CHPT
S
DEI
GO
KSS
MCW
PEGA
APP
NCNO
TNDM
JWN
PK
SMG
AMED
PACW
GH
W
CPA
PTON
MRCY
CERT
JAMF
SPB
FRPT
KD
MRTX
VSAT
SNDR
SHC
TRIP
LESL
JBGS
SLG
HBI
AMC
WOOF
JBLU
VIRT
AFRM
ATUS
HAYW
SIX
QS
DNA
MRVI
COMM
HPP
DH
UHAL
UPST
TAP
WE
CVNA
NVAX
EHAB
OPEN
UWMC
MBC
FG
