Date,BCI,CCI,CLI,3 month interbank rate,Broad money,Construction,Consumer prices,Manufacturing hourly earnings,Industrial production,Long-term interest rate,Manufacturing confidence indicator,Narrow money,Overnight interbank rate,Car registrations,Manufacturing producer prices,Retail trade volume,Total employment,Total manufacturing
2020-06-22,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-06-23,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-06-24,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-06-25,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-06-26,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-06-27,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-06-28,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-06-29,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-06-30,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-07-01,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-07-02,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-07-03,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-07-04,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-07-05,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-07-06,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-07-07,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-07-08,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-07-09,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-07-10,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-07-11,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-07-12,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-07-13,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-07-14,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-07-15,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-07-16,99.94655,98.61108,97.7169,0.18,151.815260977493,131.681158568336,109.317475117819,114.654161781946,94.184890126434,0.62,7.6,554.934262239469,0.09,46.3040446304045,103.637833468068,111.798643280007,143787.0,92.6745884798554
2020-07-17,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-07-18,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-07-19,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-07-20,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-07-21,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-07-22,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-07-23,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-07-24,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-07-25,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-07-26,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-07-27,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-07-28,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-07-29,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-07-30,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-07-31,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-08-01,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-08-02,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-08-03,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-08-04,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-08-05,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-08-06,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-08-07,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-08-08,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-08-09,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-08-10,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-08-11,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-08-12,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-08-13,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-08-14,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-08-15,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
2020-08-16,100.4141,98.80872,98.4365,0.15,152.31089820757,133.352405349756,109.662176130826,114.804890303132,95.050962411303,0.65,10.8,558.617893578468,0.1,46.6493989506542,104.015090272164,111.96344221667,147261.0,94.0522546337718
